Startup_ID,Startup_Name,Sector,City,Founded_Year,Funding_Stage,Total_Funding_USD,Investor,Status,Employees,Annual_Revenue_USD,Survival_Years,Is_Unicorn
IN0628,Startup_628,EdTech,Chennai,2022,Grant,6609000,Angel Network,Closed,4722,0,1,0
IN0629,Startup_629,HRTech,Pune,2010,Bootstrapped,205000,Government Grant,Active,2741,64000,13,0
IN0630,Startup_630,LogisticsTech,Kolkata,2023,Seed,13758000,Bootstrapped,Acquired,4936,0,1,0
IN0631,Startup_631,LogisticsTech,Bengaluru,2014,Pre-Seed,3398000,Kalaari Capital,Closed,4117,0,4,0
IN0632,Startup_632,HealthTech,Bengaluru,2020,Bootstrapped,6783000,Elevation Capital,Merged,4136,0,1,0
IN0633,Startup_633,E-Commerce,Kolkata,2014,Bootstrapped,3724000,Blume Ventures,Closed,4683,0,1,0
IN0634,Startup_634,TravelTech,Kolkata,2014,Seed,19609000,Angel Network,Closed,1070,0,3,0
IN0635,Startup_635,FoodTech,Jaipur,2013,Grant,2863000,SAIF Partners,Closed,4296,0,4,0
IN0636,Startup_636,E-Commerce,Mumbai,2014,Bootstrapped,10169000,Accel Partners,Closed,923,0,7,0
IN0637,Startup_637,LogisticsTech,Chennai,2015,Series B,35714000,Sequoia Capital India,Closed,2499,0,3,0
IN0638,Startup_638,AgriTech,Noida,2023,Grant,1767000,500 Startups,Closed,1914,0,1,0
IN0639,Startup_639,AgriTech,Delhi NCR,2022,Seed,2276000,Elevation Capital,Active,1211,1597000,1,0
IN0640,Startup_640,SaaS,Bengaluru,2015,Seed,33063000,Kalaari Capital,Closed,1714,0,4,0
IN0641,Startup_641,E-Commerce,Jaipur,2018,Series C,68685000,Tiger Global,Closed,152,0,4,0
IN0642,Startup_642,HRTech,Jaipur,2010,Series C,10012000,Government Grant,Closed,2224,0,1,0
IN0643,Startup_643,FoodTech,Bengaluru,2011,Bootstrapped,3320000,500 Startups,Closed,2952,0,2,0
IN0644,Startup_644,FinTech,Pune,2023,Bootstrapped,4599000,Angel Network,Closed,817,0,2,0
IN0645,Startup_645,FoodTech,Noida,2018,Seed,25107000,Blume Ventures,Closed,4595,0,1,0
IN0646,Startup_646,FinTech,Hyderabad,2018,Series C,47511000,Tiger Global,Closed,152,0,3,0
IN0647,Startup_647,AgriTech,Chennai,2020,Series C,39132000,SAIF Partners,Closed,2261,0,1,0
IN0648,Startup_648,SaaS,Kolkata,2023,Pre-Seed,6645000,SoftBank,Merged,1244,0,2,0
IN0649,Startup_649,LogisticsTech,Delhi NCR,2011,Bootstrapped,4074000,Y Combinator,Closed,1865,0,7,0
IN0650,Startup_650,E-Commerce,Noida,2012,Bootstrapped,10011000,Kalaari Capital,Merged,3681,0,9,0
IN0651,Startup_651,HealthTech,Hyderabad,2020,Series A,61659000,SoftBank,Closed,1133,0,2,0
IN0652,Startup_652,TravelTech,Delhi NCR,2016,Series A,25462000,Tiger Global,Closed,2602,0,1,0
IN0653,Startup_653,TravelTech,Jaipur,2021,Seed,37795000,Tiger Global,Closed,243,0,2,0
IN0654,Startup_654,LogisticsTech,Kolkata,2014,Grant,4934000,Bootstrapped,Closed,2244,0,3,0
IN0655,Startup_655,E-Commerce,Mumbai,2012,Series A,108461000,Elevation Capital,Active,2188,54686000,11,1
IN0656,Startup_656,HRTech,Hyderabad,2019,Series B,1010000,Accel Partners,Closed,3906,0,2,0
IN0657,Startup_657,TravelTech,Noida,2017,Series D+,17497000,Blume Ventures,Closed,1128,0,2,0
IN0658,Startup_658,E-Commerce,Hyderabad,2010,Bootstrapped,205000,Nexus Venture,Closed,3385,0,4,0
IN0659,Startup_659,E-Commerce,Hyderabad,2011,Series A,108425000,Y Combinator,Acquired,4015,0,12,0
IN0660,Startup_660,AgriTech,Ahmedabad,2013,Bootstrapped,177000,Angel Network,Closed,3118,0,6,0
IN0661,Startup_661,LogisticsTech,Noida,2021,Pre-Seed,2721000,Y Combinator,Closed,349,0,1,0
IN0662,Startup_662,TravelTech,Jaipur,2016,Pre-Seed,2327000,Bootstrapped,Closed,405,0,2,0
IN0663,Startup_663,SaaS,Ahmedabad,2016,Series C,20121000,Tiger Global,Closed,3462,0,3,0
IN0664,Startup_664,HRTech,Bengaluru,2021,Series A,22649000,Accel Partners,Closed,4103,0,1,0
IN0665,Startup_665,HealthTech,Noida,2021,Series A,29314000,Sequoia Capital India,Closed,1467,0,2,0
IN0666,Startup_666,HRTech,Hyderabad,2017,Seed,24241000,500 Startups,Closed,1345,0,6,0
IN0667,Startup_667,EdTech,Mumbai,2011,Grant,701000,Angel Network,Closed,3148,0,12,0
IN0668,Startup_668,TravelTech,Noida,2012,Bootstrapped,207000,Tiger Global,Closed,2747,0,10,0
IN0669,Startup_669,HealthTech,Delhi NCR,2023,Series A,64171000,Matrix Partners,Closed,2525,0,2,0
IN0670,Startup_670,FoodTech,Pune,2020,Series A,6709000,SoftBank,Closed,30,0,3,0
IN0671,Startup_671,SaaS,Bengaluru,2017,Grant,3811000,Sequoia Capital India,Acquired,4982,0,4,0
IN0672,Startup_672,E-Commerce,Hyderabad,2019,Grant,4883000,Elevation Capital,Closed,4918,0,1,0
IN0673,Startup_673,E-Commerce,Jaipur,2014,Series B,16649000,Bootstrapped,Active,2861,1291000,9,0
IN0674,Startup_674,FinTech,Noida,2023,Series C,10980000,Accel Partners,Closed,3417,0,1,0
IN0675,Startup_675,HealthTech,Pune,2019,Series A,67515000,Kalaari Capital,Merged,295,0,1,0
IN0676,Startup_676,SaaS,Chennai,2015,Bootstrapped,5313000,Y Combinator,Acquired,4511,0,2,0
IN0677,Startup_677,SaaS,Ahmedabad,2012,Seed,19318000,SAIF Partners,Closed,3391,0,9,0
IN0678,Startup_678,E-Commerce,Hyderabad,2019,Pre-Seed,8038000,Bootstrapped,Active,4335,6353000,4,0
IN0679,Startup_679,FoodTech,Noida,2022,Series C,42413000,Nexus Venture,Closed,4306,0,2,0
IN0680,Startup_680,HealthTech,Noida,2019,Grant,5698000,Blume Ventures,Closed,1475,0,2,0
IN0681,Startup_681,SaaS,Hyderabad,2010,Seed,43838000,Accel Partners,Active,1700,28480000,13,0
IN0682,Startup_682,LogisticsTech,Kolkata,2010,Series D+,48401000,SoftBank,Closed,94,0,11,0
IN0683,Startup_683,E-Commerce,Pune,2014,Seed,55933000,Kalaari Capital,Closed,52,0,2,0
IN0684,Startup_684,AgriTech,Chennai,2016,Pre-Seed,784000,Y Combinator,Acquired,2770,0,6,0
IN0685,Startup_685,FoodTech,Ahmedabad,2022,Pre-Seed,2415000,Bootstrapped,Closed,3775,0,2,0
IN0686,Startup_686,FoodTech,Kolkata,2021,Pre-Seed,1507000,Angel Network,Acquired,2586,0,1,0
IN0687,Startup_687,E-Commerce,Noida,2020,Series D+,97728000,Kalaari Capital,Acquired,544,0,1,0
IN0688,Startup_688,SaaS,Bengaluru,2015,Bootstrapped,5899000,Elevation Capital,Closed,4963,0,7,0
IN0689,Startup_689,HealthTech,Noida,2011,Series C,28511000,Sequoia Capital India,Closed,2226,0,7,0
IN0690,Startup_690,EdTech,Ahmedabad,2013,Series D+,76068000,SoftBank,Closed,4303,0,5,0
IN0691,Startup_691,HealthTech,Mumbai,2015,Pre-Seed,8223000,Blume Ventures,Closed,4147,0,1,0
IN0692,Startup_692,FoodTech,Jaipur,2012,Series B,24251000,Y Combinator,Closed,4291,0,5,0
IN0693,Startup_693,AgriTech,Delhi NCR,2022,Seed,37527000,Bootstrapped,Acquired,1089,0,1,0
IN0694,Startup_694,FinTech,Ahmedabad,2016,Seed,111914000,Bootstrapped,Active,4870,78777000,7,1
IN0695,Startup_695,AgriTech,Ahmedabad,2010,Seed,26393000,Nexus Venture,Closed,186,0,10,0
IN0696,Startup_696,SaaS,Hyderabad,2015,Series B,19474000,Kalaari Capital,Closed,3615,0,2,0
IN0697,Startup_697,SaaS,Delhi NCR,2012,Series C,67087000,SAIF Partners,Closed,4213,0,2,0
IN0698,Startup_698,E-Commerce,Jaipur,2015,Series D+,103783000,Government Grant,Closed,2322,0,4,0
IN0699,Startup_699,HealthTech,Mumbai,2014,Series D+,4850000,Sequoia Capital India,Closed,3858,0,1,0
IN0700,Startup_700,EdTech,Kolkata,2010,Seed,14483000,Elevation Capital,Closed,4857,0,11,0
IN0701,Startup_701,FoodTech,Noida,2015,Series C,10028000,Government Grant,Closed,4372,0,2,0
IN0702,Startup_702,FoodTech,Noida,2012,Seed,45996000,Blume Ventures,Acquired,798,0,8,0
IN0703,Startup_703,SaaS,Ahmedabad,2017,Series B,10189000,500 Startups,Merged,2115,0,3,0
IN0704,Startup_704,LogisticsTech,Delhi NCR,2021,Series D+,52968000,Blume Ventures,Closed,3995,0,1,0
IN0705,Startup_705,EdTech,Ahmedabad,2011,Series D+,67692000,Nexus Venture,Closed,2857,0,10,0
IN0706,Startup_706,HRTech,Delhi NCR,2018,Seed,25028000,Accel Partners,Closed,2671,0,5,0
IN0707,Startup_707,EdTech,Pune,2018,Grant,3319000,Elevation Capital,Closed,1998,0,5,0
IN0708,Startup_708,HealthTech,Ahmedabad,2016,Seed,73308000,Elevation Capital,Closed,3533,0,7,0
IN0709,Startup_709,LogisticsTech,Noida,2022,Series D+,14322000,Bootstrapped,Closed,640,0,2,0
IN0710,Startup_710,EdTech,Noida,2019,Grant,799000,Blume Ventures,Closed,1445,0,3,0
IN0711,Startup_711,LogisticsTech,Mumbai,2019,Seed,35865000,Y Combinator,Closed,3106,0,3,0
IN0712,Startup_712,FoodTech,Bengaluru,2011,Series B,44380000,500 Startups,Acquired,3,0,3,0
IN0713,Startup_713,HealthTech,Ahmedabad,2018,Series C,52140000,SoftBank,Closed,1686,0,3,0
IN0714,Startup_714,SaaS,Noida,2022,Series C,65577000,Angel Network,Acquired,2822,0,1,0
IN0715,Startup_715,HRTech,Bengaluru,2019,Bootstrapped,2985000,Sequoia Capital India,Acquired,3026,0,1,0
IN0716,Startup_716,FinTech,Jaipur,2023,Series D+,34224000,Sequoia Capital India,Active,1929,12792000,0,0
IN0717,Startup_717,HRTech,Kolkata,2020,Series D+,14271000,Matrix Partners,Closed,4467,0,1,0
IN0718,Startup_718,HealthTech,Ahmedabad,2012,Series B,75946000,Kalaari Capital,Closed,3419,0,3,0
IN0719,Startup_719,SaaS,Delhi NCR,2012,Pre-Seed,125000,Angel Network,Active,3989,68000,11,0
IN0720,Startup_720,HealthTech,Mumbai,2012,Bootstrapped,8045000,Angel Network,Acquired,4953,0,7,0
IN0721,Startup_721,HRTech,Delhi NCR,2017,Bootstrapped,1581000,Kalaari Capital,Closed,1851,0,2,0
IN0722,Startup_722,LogisticsTech,Noida,2010,Grant,1436000,SAIF Partners,Acquired,2207,0,7,0
IN0723,Startup_723,TravelTech,Noida,2015,Pre-Seed,2561000,Angel Network,Merged,3021,0,2,0
IN0724,Startup_724,HRTech,Ahmedabad,2021,Seed,25622000,Y Combinator,Closed,2291,0,2,0
IN0725,Startup_725,TravelTech,Mumbai,2018,Seed,28417000,Bootstrapped,Closed,641,0,5,0
IN0726,Startup_726,HRTech,Pune,2019,Pre-Seed,1877000,Sequoia Capital India,Acquired,3842,0,4,0
IN0727,Startup_727,TravelTech,Ahmedabad,2019,Series D+,43230000,Government Grant,Closed,2415,0,3,0
IN0728,Startup_728,HealthTech,Bengaluru,2021,Series C,50864000,Sequoia Capital India,Closed,3878,0,1,0
IN0729,Startup_729,HRTech,Bengaluru,2020,Series C,21889000,Nexus Venture,Acquired,3973,0,1,0
IN0730,Startup_730,HealthTech,Jaipur,2011,Series C,55537000,Nexus Venture,Closed,2106,0,1,0
IN0731,Startup_731,EdTech,Noida,2012,Series A,29707000,Tiger Global,Closed,2142,0,4,0
IN0732,Startup_732,FoodTech,Delhi NCR,2022,Pre-Seed,436000,Tiger Global,Closed,4880,0,1,0
IN0733,Startup_733,FoodTech,Kolkata,2022,Bootstrapped,2209000,Bootstrapped,Closed,1372,0,1,0
IN0734,Startup_734,HRTech,Chennai,2010,Series C,4148000,Tiger Global,Closed,3803,0,7,0
IN0735,Startup_735,FoodTech,Pune,2017,Series B,35325000,Blume Ventures,Closed,2153,0,2,0
IN0736,Startup_736,TravelTech,Kolkata,2010,Series C,20252000,Bootstrapped,Acquired,2588,0,9,0
IN0737,Startup_737,FinTech,Mumbai,2018,Series D+,52098000,500 Startups,Merged,2235,0,3,0
IN0738,Startup_738,SaaS,Pune,2022,Seed,40955000,Blume Ventures,Closed,1982,0,1,0
IN0739,Startup_739,TravelTech,Chennai,2020,Series A,575000,Sequoia Capital India,Closed,558,0,1,0
IN0740,Startup_740,LogisticsTech,Mumbai,2018,Seed,21221000,Angel Network,Closed,2322,0,3,0
IN0741,Startup_741,E-Commerce,Bengaluru,2010,Seed,65518000,500 Startups,Active,1778,49982000,13,0
IN0742,Startup_742,EdTech,Mumbai,2011,Series A,61156000,Bootstrapped,Closed,4639,0,3,0
IN0743,Startup_743,EdTech,Delhi NCR,2014,Series C,74907000,Bootstrapped,Closed,3716,0,5,0
IN0744,Startup_744,LogisticsTech,Chennai,2014,Series A,16782000,Sequoia Capital India,Closed,3137,0,7,0
IN0745,Startup_745,AgriTech,Bengaluru,2014,Series C,2869000,500 Startups,Closed,1645,0,7,0
IN0746,Startup_746,HealthTech,Ahmedabad,2011,Series A,38983000,Elevation Capital,Closed,872,0,8,0
IN0747,Startup_747,SaaS,Mumbai,2010,Seed,50969000,Government Grant,Active,3654,3266000,13,0
IN0748,Startup_748,FoodTech,Delhi NCR,2020,Pre-Seed,3328000,Nexus Venture,Acquired,1243,0,3,0
IN0749,Startup_749,AgriTech,Kolkata,2019,Pre-Seed,3760000,Blume Ventures,Closed,3918,0,4,0
IN0750,Startup_750,LogisticsTech,Mumbai,2018,Series B,57258000,Y Combinator,Active,3951,8068000,5,0
IN0751,Startup_751,TravelTech,Chennai,2015,Series C,28489000,Bootstrapped,Closed,744,0,6,0
IN0752,Startup_752,TravelTech,Chennai,2011,Grant,1312000,SoftBank,Closed,1448,0,9,0
IN0753,Startup_753,FinTech,Kolkata,2020,Series B,47118000,Accel Partners,Closed,2945,0,2,0
IN0754,Startup_754,EdTech,Ahmedabad,2021,Series B,15609000,Angel Network,Closed,4859,0,1,0
IN0755,Startup_755,FoodTech,Kolkata,2011,Series C,48253000,Government Grant,Closed,3682,0,1,0
IN0756,Startup_756,FinTech,Chennai,2010,Series D+,5616000,Accel Partners,Closed,1736,0,13,0
IN0757,Startup_757,TravelTech,Ahmedabad,2020,Series A,10561000,Accel Partners,Closed,304,0,3,0
IN0758,Startup_758,HealthTech,Ahmedabad,2020,Pre-Seed,8265000,Sequoia Capital India,Closed,1990,0,3,0
IN0759,Startup_759,HealthTech,Bengaluru,2012,Pre-Seed,7392000,Accel Partners,Acquired,3739,0,10,0
IN0760,Startup_760,HealthTech,Noida,2011,Seed,53669000,Elevation Capital,Closed,1808,0,2,0
IN0761,Startup_761,E-Commerce,Kolkata,2015,Bootstrapped,10735000,Elevation Capital,Closed,4473,0,3,0
IN0762,Startup_762,AgriTech,Hyderabad,2022,Pre-Seed,1349000,Accel Partners,Closed,2245,0,1,0
IN0763,Startup_763,LogisticsTech,Delhi NCR,2021,Series D+,26432000,500 Startups,Closed,4769,0,1,0
IN0764,Startup_764,HealthTech,Mumbai,2022,Bootstrapped,170000,Blume Ventures,Closed,663,0,1,0
IN0765,Startup_765,FinTech,Delhi NCR,2011,Series C,96986000,Government Grant,Closed,3901,0,12,0
IN0766,Startup_766,HealthTech,Hyderabad,2012,Series C,37259000,Tiger Global,Closed,310,0,10,0
IN0767,Startup_767,HealthTech,Ahmedabad,2019,Seed,70498000,Kalaari Capital,Closed,3432,0,1,0
IN0768,Startup_768,TravelTech,Hyderabad,2013,Seed,43958000,Elevation Capital,Merged,2966,0,9,0
IN0769,Startup_769,TravelTech,Hyderabad,2017,Series B,8798000,Government Grant,Closed,1224,0,6,0
IN0770,Startup_770,FoodTech,Ahmedabad,2012,Series A,2299000,Bootstrapped,Closed,2985,0,5,0
IN0771,Startup_771,E-Commerce,Kolkata,2014,Series D+,97953000,Blume Ventures,Closed,356,0,2,0
IN0772,Startup_772,FinTech,Jaipur,2012,Series A,58465000,Accel Partners,Closed,582,0,4,0
IN0773,Startup_773,FoodTech,Noida,2019,Series D+,37392000,500 Startups,Closed,2670,0,2,0
IN0774,Startup_774,EdTech,Chennai,2013,Seed,33125000,SoftBank,Closed,3078,0,4,0
IN0775,Startup_775,EdTech,Ahmedabad,2019,Grant,3498000,SoftBank,Active,4994,1369000,4,0
IN0776,Startup_776,LogisticsTech,Chennai,2012,Grant,3800000,Nexus Venture,Closed,1658,0,6,0
IN0777,Startup_777,HealthTech,Bengaluru,2021,Pre-Seed,1027000,Blume Ventures,Closed,3758,0,2,0
IN0778,Startup_778,HealthTech,Chennai,2013,Series C,71122000,Bootstrapped,Closed,1394,0,10,0
IN0779,Startup_779,TravelTech,Hyderabad,2011,Bootstrapped,2207000,SoftBank,Acquired,4848,0,8,0
IN0780,Startup_780,FoodTech,Pune,2010,Bootstrapped,1245000,Kalaari Capital,Closed,3559,0,10,0
IN0781,Startup_781,E-Commerce,Noida,2012,Pre-Seed,525000,Blume Ventures,Closed,4132,0,1,0
IN0782,Startup_782,LogisticsTech,Jaipur,2016,Grant,4186000,Accel Partners,Acquired,3708,0,4,0
IN0783,Startup_783,E-Commerce,Mumbai,2018,Pre-Seed,4496000,SoftBank,Closed,1089,0,3,0
IN0784,Startup_784,SaaS,Hyderabad,2020,Seed,46882000,Tiger Global,Active,3764,32510000,3,0
IN0785,Startup_785,HRTech,Bengaluru,2017,Grant,3061000,Matrix Partners,Closed,1517,0,3,0
IN0786,Startup_786,FoodTech,Bengaluru,2023,Seed,34584000,SAIF Partners,Closed,269,0,2,0
IN0787,Startup_787,LogisticsTech,Pune,2021,Series B,5041000,500 Startups,Closed,2752,0,1,0
IN0788,Startup_788,TravelTech,Chennai,2010,Seed,20994000,Sequoia Capital India,Closed,2996,0,6,0
IN0789,Startup_789,HealthTech,Jaipur,2021,Seed,69690000,Tiger Global,Closed,2745,0,1,0
IN0790,Startup_790,TravelTech,Mumbai,2020,Grant,3388000,Y Combinator,Closed,1720,0,3,0
IN0791,Startup_791,E-Commerce,Chennai,2015,Series C,46753000,Sequoia Capital India,Closed,521,0,6,0
IN0792,Startup_792,AgriTech,Ahmedabad,2017,Seed,21323000,Y Combinator,Closed,4367,0,3,0
IN0793,Startup_793,FoodTech,Noida,2015,Seed,44216000,Accel Partners,Closed,658,0,7,0
IN0794,Startup_794,HealthTech,Pune,2011,Seed,10349000,Tiger Global,Closed,4067,0,3,0
IN0795,Startup_795,E-Commerce,Jaipur,2020,Pre-Seed,10666000,SAIF Partners,Closed,1083,0,2,0
IN0796,Startup_796,AgriTech,Kolkata,2017,Pre-Seed,261000,Y Combinator,Closed,1905,0,5,0
IN0797,Startup_797,AgriTech,Kolkata,2019,Series D+,31494000,Blume Ventures,Closed,4862,0,4,0
IN0798,Startup_798,FoodTech,Pune,2019,Series A,15429000,Government Grant,Acquired,2131,0,2,0
IN0799,Startup_799,FoodTech,Chennai,2014,Pre-Seed,1433000,Tiger Global,Closed,1319,0,9,0
IN0800,Startup_800,SaaS,Delhi NCR,2012,Series A,8317000,Kalaari Capital,Closed,4708,0,3,0
IN0801,Startup_801,FoodTech,Pune,2015,Series A,35401000,Bootstrapped,Closed,2598,0,6,0
IN0802,Startup_802,HealthTech,Chennai,2017,Series A,11198000,Sequoia Capital India,Closed,3316,0,4,0
IN0803,Startup_803,HealthTech,Ahmedabad,2015,Series A,66543000,SAIF Partners,Active,2715,35629000,8,0
IN0804,Startup_804,SaaS,Ahmedabad,2014,Series A,51039000,500 Startups,Acquired,3623,0,6,0
IN0805,Startup_805,EdTech,Ahmedabad,2010,Series A,9527000,Sequoia Capital India,Closed,3292,0,10,0
IN0806,Startup_806,E-Commerce,Ahmedabad,2015,Seed,67053000,SoftBank,Closed,4781,0,4,0
IN0807,Startup_807,SaaS,Hyderabad,2010,Seed,31265000,Bootstrapped,Closed,717,0,9,0
IN0808,Startup_808,LogisticsTech,Hyderabad,2017,Series D+,30791000,Sequoia Capital India,Closed,2959,0,4,0
IN0809,Startup_809,HealthTech,Kolkata,2015,Bootstrapped,2583000,Kalaari Capital,Closed,2525,0,8,0
IN0810,Startup_810,TravelTech,Mumbai,2013,Grant,1876000,Blume Ventures,Closed,2366,0,3,0
IN0811,Startup_811,LogisticsTech,Kolkata,2012,Seed,18333000,Y Combinator,Closed,4305,0,6,0
IN0812,Startup_812,EdTech,Noida,2022,Bootstrapped,3288000,500 Startups,Active,2241,1187000,1,0
IN0813,Startup_813,TravelTech,Ahmedabad,2021,Series A,37470000,Nexus Venture,Closed,4539,0,2,0
IN0814,Startup_814,FinTech,Pune,2023,Series C,88913000,SoftBank,Closed,221,0,1,0
IN0815,Startup_815,HealthTech,Pune,2014,Grant,6003000,Nexus Venture,Closed,3419,0,3,0
IN0816,Startup_816,FoodTech,Hyderabad,2010,Seed,24729000,Accel Partners,Closed,4908,0,12,0
IN0817,Startup_817,AgriTech,Noida,2017,Bootstrapped,2516000,Blume Ventures,Acquired,981,0,3,0
IN0818,Startup_818,TravelTech,Noida,2010,Series C,2727000,Kalaari Capital,Closed,3778,0,12,0
IN0819,Startup_819,HealthTech,Chennai,2012,Pre-Seed,3793000,500 Startups,Closed,2918,0,1,0
IN0820,Startup_820,SaaS,Pune,2018,Seed,53686000,Tiger Global,Closed,776,0,5,0
IN0821,Startup_821,HealthTech,Jaipur,2015,Series D+,61742000,Nexus Venture,Acquired,2225,0,6,0
IN0822,Startup_822,EdTech,Jaipur,2019,Series D+,1229000,SAIF Partners,Acquired,2307,0,3,0
IN0823,Startup_823,FoodTech,Kolkata,2015,Series A,7855000,SoftBank,Active,1545,5077000,8,0
IN0824,Startup_824,TravelTech,Noida,2021,Seed,41230000,Accel Partners,Closed,1077,0,1,0
IN0825,Startup_825,FoodTech,Chennai,2014,Series D+,22181000,Elevation Capital,Closed,4287,0,6,0
IN0826,Startup_826,HealthTech,Pune,2010,Seed,77156000,Tiger Global,Closed,1858,0,5,0
IN0827,Startup_827,HealthTech,Hyderabad,2012,Seed,68743000,Accel Partners,Closed,638,0,1,0
IN0828,Startup_828,FoodTech,Kolkata,2010,Series B,39684000,SAIF Partners,Active,4861,3748000,13,0
IN0829,Startup_829,EdTech,Pune,2010,Seed,1020000,Accel Partners,Closed,1016,0,10,0
IN0830,Startup_830,E-Commerce,Noida,2013,Series A,3607000,Tiger Global,Closed,2274,0,10,0
IN0831,Startup_831,AgriTech,Chennai,2012,Series B,2827000,Y Combinator,Closed,4738,0,1,0
IN0832,Startup_832,TravelTech,Hyderabad,2021,Series B,7813000,Government Grant,Merged,4402,0,1,0
IN0833,Startup_833,EdTech,Hyderabad,2018,Grant,4723000,Blume Ventures,Closed,881,0,2,0
IN0834,Startup_834,AgriTech,Kolkata,2016,Series B,16362000,Government Grant,Closed,2576,0,1,0
IN0835,Startup_835,FoodTech,Mumbai,2018,Series A,18158000,Nexus Venture,Closed,4566,0,1,0
IN0836,Startup_836,EdTech,Chennai,2017,Seed,36664000,Angel Network,Closed,2557,0,6,0
IN0837,Startup_837,FoodTech,Hyderabad,2018,Bootstrapped,4279000,SoftBank,Closed,572,0,4,0
IN0838,Startup_838,AgriTech,Delhi NCR,2010,Grant,1592000,SAIF Partners,Closed,698,0,2,0
IN0839,Startup_839,HealthTech,Kolkata,2016,Seed,80351000,Tiger Global,Closed,532,0,3,0
IN0840,Startup_840,E-Commerce,Chennai,2013,Bootstrapped,9226000,Angel Network,Closed,4090,0,5,0
IN0841,Startup_841,HRTech,Noida,2014,Bootstrapped,2337000,Matrix Partners,Closed,3971,0,9,0
IN0842,Startup_842,SaaS,Delhi NCR,2022,Grant,1766000,Blume Ventures,Active,1892,921000,1,0
IN0843,Startup_843,HealthTech,Bengaluru,2011,Pre-Seed,4498000,Sequoia Capital India,Acquired,1469,0,7,0
IN0844,Startup_844,HRTech,Chennai,2012,Series C,3462000,Accel Partners,Closed,4261,0,8,0
IN0845,Startup_845,FoodTech,Hyderabad,2014,Grant,1319000,Kalaari Capital,Closed,4430,0,9,0
IN0846,Startup_846,FinTech,Bengaluru,2016,Seed,38090000,Matrix Partners,Closed,3627,0,4,0
IN0847,Startup_847,FinTech,Bengaluru,2012,Series C,20115000,Matrix Partners,Acquired,1103,0,5,0
IN0848,Startup_848,LogisticsTech,Ahmedabad,2022,Seed,29535000,SAIF Partners,Closed,4420,0,2,0
IN0849,Startup_849,FoodTech,Jaipur,2023,Series A,19661000,Blume Ventures,Closed,4843,0,2,0
IN0850,Startup_850,HRTech,Chennai,2022,Series C,1082000,Sequoia Capital India,Closed,1052,0,2,0
IN0851,Startup_851,AgriTech,Noida,2010,Series D+,17183000,Kalaari Capital,Closed,3376,0,6,0
IN0852,Startup_852,FinTech,Hyderabad,2013,Series B,71308000,500 Startups,Closed,538,0,5,0
IN0853,Startup_853,EdTech,Chennai,2012,Pre-Seed,318000,Bootstrapped,Closed,3462,0,10,0
IN0854,Startup_854,TravelTech,Kolkata,2014,Pre-Seed,2650000,Kalaari Capital,Closed,3096,0,7,0
IN0855,Startup_855,AgriTech,Noida,2011,Grant,2704000,Kalaari Capital,Active,4071,1155000,12,0
IN0856,Startup_856,AgriTech,Delhi NCR,2019,Series C,17496000,Blume Ventures,Closed,619,0,2,0
IN0857,Startup_857,SaaS,Pune,2010,Series C,28232000,SoftBank,Merged,755,0,12,0
IN0858,Startup_858,HRTech,Mumbai,2019,Series D+,19868000,SAIF Partners,Closed,3895,0,4,0
IN0859,Startup_859,E-Commerce,Chennai,2022,Seed,33482000,Government Grant,Closed,2458,0,2,0
IN0860,Startup_860,TravelTech,Chennai,2013,Bootstrapped,2816000,Blume Ventures,Closed,4487,0,3,0
IN0861,Startup_861,FinTech,Jaipur,2023,Series A,25948000,Y Combinator,Closed,3830,0,2,0
IN0862,Startup_862,TravelTech,Noida,2023,Bootstrapped,3272000,Sequoia Capital India,Acquired,4280,0,1,0
IN0863,Startup_863,AgriTech,Ahmedabad,2012,Series B,27444000,Nexus Venture,Closed,3568,0,7,0
IN0864,Startup_864,AgriTech,Mumbai,2020,Series B,10751000,Nexus Venture,Acquired,1317,0,2,0
IN0865,Startup_865,HRTech,Hyderabad,2016,Series B,6798000,SoftBank,Active,2545,2706000,7,0
IN0866,Startup_866,TravelTech,Kolkata,2016,Pre-Seed,1234000,Sequoia Capital India,Closed,2118,0,7,0
IN0867,Startup_867,SaaS,Jaipur,2012,Pre-Seed,3409000,Sequoia Capital India,Merged,455,0,2,0
IN0868,Startup_868,AgriTech,Noida,2014,Seed,16340000,Kalaari Capital,Acquired,741,0,7,0
IN0869,Startup_869,HealthTech,Hyderabad,2011,Seed,74660000,Government Grant,Closed,4304,0,5,0
IN0870,Startup_870,FoodTech,Mumbai,2013,Seed,15774000,Y Combinator,Closed,4788,0,7,0
IN0871,Startup_871,E-Commerce,Kolkata,2013,Series A,23866000,Nexus Venture,Active,3602,8503000,10,0
IN0872,Startup_872,HRTech,Bengaluru,2017,Series D+,4042000,SAIF Partners,Closed,3473,0,4,0
IN0873,Startup_873,E-Commerce,Pune,2022,Series A,78838000,Y Combinator,Closed,2526,0,1,0
IN0874,Startup_874,HRTech,Bengaluru,2023,Pre-Seed,2763000,SoftBank,Closed,2074,0,2,0
IN0875,Startup_875,SaaS,Chennai,2022,Seed,16661000,Blume Ventures,Closed,3184,0,1,0
IN0876,Startup_876,LogisticsTech,Pune,2014,Seed,45449000,Nexus Venture,Acquired,1725,0,3,0
IN0877,Startup_877,FoodTech,Chennai,2022,Bootstrapped,1381000,Accel Partners,Closed,4029,0,2,0
